,Longitude,Latitude,xm,ym,zm_depth,zm,xkm,ykm,zkm,dem_m,date,mean_tds_t,var_tds_t,sigma_tds_t,mean_tds,sigma_tds,mean_temp_t,var_temp_t,sigma_temp_t,mean_temp,sigma_temp,mean_res_t,var_res_t,sigma_res_t,mean_res,sigma_res,mean_por_t,var_por_t,sigma_por_t,mean_por,sigma_por,mean_bicarb,var_bicarb,sigma_bicarb
98831,-120.911344677,35.986171303,-82.0734301217,-225.2581389842,706.9004974365234,-530.0,-82.0734301217,-225.2581389842,-0.53,176.9,2017.667,8.8019,0.17034,0.413,6647.0,3119.0,0.45252,0.06452,0.254,49.9,15.3,1.41755,0.08778,0.296,4.1,1.3,-1.1385,0.012,0.1095,0.3203,0.0354,0.3259,0.0443,0.2105
431672,-120.8107129413,35.9530899393,-73.0424508342,-229.0158545041,672.2554016113281,-410.0,-73.0424508342,-229.0158545041,-0.41,262.26,2017.667,8.81818,0.14399,0.379,6756.0,2857.0,0.46668,0.0612,0.247,50.9,15.0,1.31435,0.07547,0.275,3.7,1.1,-1.0871,0.0121,0.11,0.3372,0.0374,0.0729,0.0467,0.2161
215725,-120.8714389887,36.0239785758,-78.4411162932,-221.0913991754,620.7960357666016,-420.0,-78.4411162932,-221.0913991754,-0.42,200.8,2017.667,8.71374,0.23901,0.489,6086.0,3564.0,0.52927,0.06806,0.261,55.6,17.4,1.43022,0.11804,0.344,4.2,1.6,-1.1747,0.0137,0.117,0.3089,0.0365,0.1234,0.0556,0.2358
8090,-120.8350033603,35.9011049392,-75.2817459416,-234.7723520311,103.92097473144533,70.0,-75.2817459416,-234.7723520311,0.07,173.92,2017.667,6.80797,0.18127,0.426,905.0,442.0,0.1253,0.06486,0.255,30.0,10.0,2.85168,0.09129,0.302,17.3,5.6,-1.1491,0.0123,0.1109,0.3169,0.0355,0.4051,0.0654,0.2557
435974,-120.8211231209,35.9578158484,-73.975801414,-228.4827288578,561.9291687011719,-320.0,-73.975801414,-228.4827288578,-0.32,241.93,2017.667,8.64235,0.16394,0.405,5667.0,2596.0,0.40025,0.06215,0.249,46.2,13.9,1.47125,0.08415,0.29,4.4,1.3,-1.0663,0.0116,0.1077,0.3443,0.0374,0.2371,0.0599,0.2447
243020,-120.9165497667,36.0192526667,-82.5066399874,-221.5781787348,564.1858596801758,-440.0,-82.5066399874,-221.5781787348,-0.44,124.19,2017.667,9.00159,0.20067,0.448,8116.0,4230.0,0.44291,0.0662,0.257,49.2,15.4,1.26632,0.1003,0.317,3.5,1.2,-1.1316,0.0133,0.1153,0.3225,0.0376,0.2207,0.0606,0.2462
27196,-120.8697039588,35.9278850907,-78.3828829879,-231.7690040222,192.73385620117188,-30.0,-78.3828829879,-231.7690040222,-0.03,162.73,2017.667,6.78095,0.16007,0.4,881.0,398.0,0.14949,0.06145,0.248,31.2,9.9,2.87329,0.08295,0.288,17.7,5.4,-1.1891,0.0112,0.1058,0.3045,0.0325,0.3305,0.0515,0.2269
346654,-120.7985677319,35.8979543331,-71.9998315797,-235.1506775255,423.4299621582031,-90.0,-71.9998315797,-235.1506775255,-0.09,333.43,2017.667,7.07231,0.17326,0.416,1179.0,559.0,0.20299,0.0661,0.257,34.1,11.3,2.67966,0.08778,0.296,14.6,4.6,-1.1936,0.0132,0.1149,0.3031,0.0352,0.3876,0.0699,0.2644
2635,-120.8974644376,35.9467887272,-80.8648675001,-229.6455081628,596.6815490722656,-210.0,-80.8648675001,-229.6455081628,-0.21,386.68,2017.667,7.07287,0.2234,0.473,1180.0,660.0,0.25103,0.0631,0.251,36.9,11.6,2.64607,0.11023,0.332,14.1,5.1,-1.1775,0.0124,0.1114,0.308,0.0346,0.3703,0.0682,0.2612
154752,-120.84020845,35.9767194848,-75.676560234,-226.3674380398,493.4850769042969,-220.0,-75.676560234,-226.3674380398,-0.22,273.49,2017.667,8.13233,0.23629,0.486,3403.0,1977.0,0.27921,0.06275,0.25,38.5,12.0,1.90765,0.11591,0.34,6.7,2.5,-1.1236,0.0129,0.1136,0.3251,0.0373,0.3399,0.0678,0.2604
429208,-120.8072428815,35.9467887272,-72.7357787974,-229.7185927813,178.89999389648438,60.0,-72.7357787974,-229.7185927813,0.06,238.9,2017.667,6.98432,0.15019,0.388,1080.0,468.0,0.11239,0.06391,0.253,29.3,9.7,2.74787,0.07788,0.279,15.6,4.6,-1.1678,0.0121,0.11,0.3111,0.0345,0.3642,0.0597,0.2443
259307,-120.8991994675,36.0271291819,-80.9365353,-220.7180182596,521.6460113525391,-380.0,-80.9365353,-220.7180182596,-0.38,141.65,2017.667,9.00163,0.21453,0.463,8116.0,4420.0,0.444,0.06803,0.261,49.3,15.7,1.26106,0.10689,0.327,3.5,1.3,-1.1328,0.0132,0.1149,0.3221,0.0374,0.1919,0.0597,0.2443
18258,-120.8575587493,35.9168579695,-77.2993962028,-233.0040733436,469.3374938964844,-310.0,-77.2993962028,-233.0040733436,-0.31,159.34,2017.667,7.47976,0.16225,0.403,1772.0,806.0,0.40347,0.06274,0.25,46.5,14.1,2.25798,0.08301,0.288,9.6,2.9,-1.0875,0.012,0.1095,0.3371,0.0373,0.3524,0.0668,0.2585
256178,-120.909609647,36.0224032728,-81.8785600096,-221.2341496648,215.0790863037109,-80.0,-81.8785600096,-221.2341496648,-0.08,135.08,2017.667,7.62409,0.23713,0.487,2047.0,1192.0,0.15387,0.06572,0.256,31.4,10.5,2.28562,0.11606,0.341,9.8,3.7,-1.1186,0.0141,0.1187,0.3267,0.0392,0.3691,0.0707,0.2659
332714,-120.8089779114,35.9357616059,-72.9025619497,-230.9423775237,479.6941223144531,-170.0,-72.9025619497,-230.9423775237,-0.17,309.69,2017.667,7.98609,0.24986,0.5,2940.0,1775.0,0.30944,0.06323,0.251,40.4,12.6,1.9868,0.12188,0.349,7.3,2.8,-1.12,0.013,0.114,0.3263,0.0376,0.3345,0.0716,0.2676
400072,-120.7742773129,35.9562405454,-69.7569418567,-228.693257236,904.0474243164062,-510.0,-69.7569418567,-228.693257236,-0.51,394.05,2017.667,8.71333,0.27744,0.527,6083.0,3952.0,0.59031,0.06965,0.264,60.4,19.0,1.40337,0.13491,0.367,4.1,1.7,-1.1588,0.0143,0.1196,0.3139,0.0379,0.1604,0.0618,0.2486
249912,-120.8939943777,36.0161020607,-80.4795944426,-221.9476116813,515.6763458251953,-370.0,-80.4795944426,-221.9476116813,-0.37,145.68,2017.667,8.80398,0.17719,0.421,6661.0,3204.0,0.39101,0.06621,0.257,45.6,14.4,1.40484,0.09001,0.3,4.1,1.3,-1.1133,0.0127,0.1127,0.3285,0.0374,0.242,0.0597,0.2443
353971,-120.7812174326,35.8979543331,-70.4355434335,-235.1637106166,889.2967224121094,-630.0,-70.4355434335,-235.1637106166,-0.63,259.3,2017.667,9.06427,0.22939,0.479,8641.0,4921.0,0.56919,0.06865,0.262,58.7,18.4,1.16375,0.11357,0.337,3.2,1.2,-1.1074,0.0142,0.1192,0.3304,0.0398,0.2366,0.0544,0.2332
370675,-120.7846874925,35.9278850907,-70.7208788552,-231.8358560022,817.5126037597656,-450.0,-70.7208788552,-231.8358560022,-0.45,367.51,2017.667,8.87746,0.23625,0.486,7169.0,4165.0,0.53407,0.06652,0.258,56.0,17.2,1.27442,0.11694,0.342,3.6,1.3,-1.0983,0.0135,0.1162,0.3334,0.0391,0.1529,0.0504,0.2245
72655,-120.8957294076,35.9704182727,-80.683735982,-227.021730913,-7.4416961669921875,150.0,-80.683735982,-227.021730913,0.15,142.56,2017.667,5.9046,0.16885,0.411,367.0,171.0,-0.04466,0.06399,0.253,21.9,7.8,3.50383,0.09051,0.301,33.2,10.7,-1.0988,0.0146,0.1208,0.3333,0.0407,0.6065,0.0285,0.1688
318346,-120.84020845,35.9263097877,-75.7261945331,-231.9679907368,736.3157043457031,-480.0,-75.7261945331,-231.9679907368,-0.48,256.32,2017.667,8.88319,0.14397,0.379,7210.0,3049.0,0.56141,0.05362,0.232,58.1,15.4,1.27406,0.07628,0.276,3.6,1.0,-1.1153,0.0117,0.1082,0.3278,0.0358,0.1614,0.0289,0.17
297548,-120.7864225224,35.9152826665,-70.8888609351,-233.2346812644,629.2488403320312,-290.0,-70.8888609351,-233.2346812644,-0.29,339.25,2017.667,7.98893,0.31791,0.564,2948.0,2114.0,0.37726,0.06634,0.258,44.7,14.2,1.94228,0.15208,0.39,7.0,3.1,-1.0973,0.0142,0.1192,0.3338,0.0402,0.3309,0.072,0.2683
