,xkm,ykm,xm,ym,Longitude,Latitude,mean_pred,var_pred,sigma_pred
7124,-76.3601414757,-231.0002447982,-76360.141475658,-231000.2447982342,-120.8473379009,35.9349689539,-166.6,279.9,16.7
9826,-71.6414229944,-229.5313373002,-71641.4229944224,-229531.337300249,-120.7951154041,35.9485572961,-44.4,1356.9,36.8
25787,-79.14495894,-220.7178923123,-79144.9589399937,-220717.892312337,-120.8792963418,36.0272815503,50.9,966.5,31.1
2214,-75.1998008655,-234.4792362408,-75199.8008655181,-234479.2362408311,-120.834123099,35.9037495899,-126.7,1630.7,40.4
14729,-75.1224448248,-226.980076909,-75122.4448248421,-226980.0769090113,-120.8339968008,35.9712497542,-124.2,1543.0,39.3
1551,-74.0394602554,-235.0977236084,-74039.4602553782,-235097.7236084038,-120.8211937233,35.8982741225,-131.5,1250.1,35.4
7818,-73.884748174,-230.6136901935,-73884.7481740262,-230613.6901935012,-120.8199079398,35.9386439278,-119.8,615.6,24.8
9848,-69.9395900996,-229.5313373002,-69939.5900995506,-229531.337300249,-120.7762283931,35.9486842285,-0.2,1129.0,33.6
3322,-76.9789898011,-233.5515051895,-76978.9898010659,-233551.505189472,-120.853949656,35.9119569401,-144.5,3025.3,55.0
16981,-78.7581787366,-225.8204130948,-78758.1787366137,-225820.4130948124,-120.8744766187,35.9813918922,-102.3,161.7,12.7
12489,-72.9564756859,-228.1397407232,-72956.4756859143,-228139.7407232102,-120.8098417927,35.9609816927,-110.4,498.6,22.3
19563,-70.8678625877,-224.5834383597,-70867.8625876625,-224583.4383596668,-120.7869862304,35.993146861,211.7,690.6,26.3
20042,-81.6203522416,-224.2741946759,-81620.3522416254,-224274.1946758804,-120.9064184528,35.9950657722,-155.9,711.7,26.7
16379,-77.5978381265,-226.1296567786,-77597.8381264738,-226129.6567785988,-120.8615625078,35.9787043231,-141.7,489.3,22.1
3660,-74.2715283774,-233.3195724266,-74271.5283774061,-233319.5724266322,-120.8239389215,35.9142600475,-134.2,1062.1,32.6
17777,-76.9789898011,-225.4338584901,-76978.9898010659,-225433.8584900794,-120.8547615064,35.985016899,-40.0,734.8,27.1
9639,-74.7356646215,-229.6086482212,-74735.6646214621,-229608.6482211956,-120.8294477549,35.9476228815,-122.3,453.2,21.3
23906,-80.6147237128,-222.1094888894,-80614.7237128375,-222109.4888893757,-120.8954783663,36.0146337264,-114.7,971.8,31.2
3733,-76.5922095977,-233.2422615057,-76592.2095976859,-233242.2615056856,-120.8496899685,35.9147715112,-137.7,2282.5,47.8
127,-73.5753240113,-236.7212529483,-73575.3240113222,-236721.2529482824,-120.8158911459,35.8836976628,-132.3,1888.5,43.5
6549,-71.3319988317,-231.386799403,-71331.9988317184,-231386.7994029672,-120.7915094906,35.9318810085,-86.9,472.3,21.7
10410,-72.2602713198,-229.2220936165,-72260.2713198303,-229222.0936164626,-120.8020124254,35.9512936298,-59.8,949.1,30.8
19769,-78.8355347773,-224.4288165178,-78835.5347772897,-224428.8165177736,-120.8754781543,35.9939097278,-73.9,642.6,25.3
7703,-72.4149834012,-230.6910011144,-72414.9834011823,-230691.0011144479,-120.8035913008,35.9380613745,-97.3,392.5,19.8
14915,-72.4923394419,-226.9027659881,-72492.3394418583,-226902.7659880647,-120.8048065251,35.9721501435,-16.5,942.8,30.7
22143,-78.8355347773,-223.1918417826,-78835.5347772897,-223191.8417826281,-120.8756050166,36.0050423299,-72.4,449.2,21.2
15718,-81.3109280789,-226.4389004624,-81310.9280789214,-226438.9004623851,-120.9027535172,35.9756101913,-204.0,1167.1,34.2
7251,-76.5922095977,-230.9229338773,-76592.2095976859,-230922.9338772876,-120.8499206206,35.9356460726,-176.1,255.7,16.0
18215,-79.0676028993,-225.2019257272,-79067.6028993177,-225201.9257272396,-120.8779756481,35.9869325026,-101.9,378.9,19.5
23732,-75.6639371096,-222.2641107313,-75663.937109574,-222264.1107312689,-120.8404721634,36.0136500851,135.4,593.5,24.4
24259,-79.9958753874,-221.8775561265,-79995.8753874296,-221877.556126536,-120.8886286733,36.0167734719,-90.5,821.7,28.7
5860,-76.9789898011,-231.7733540077,-76978.9898010659,-231773.3540077002,-120.854127358,35.9279608127,-152.8,890.7,29.8
24820,-78.9902468586,-221.4910015218,-78990.2468586417,-221491.001521803,-120.8774981021,36.0203366703,-2.0,721.8,26.9
24740,-76.9016337604,-221.5683124427,-76901.6337603899,-221568.3124427495,-120.8542893539,36.0198125695,69.0,1118.5,33.4
16206,-79.14495894,-226.2069676995,-79144.9589399937,-226206.9676995453,-120.878731135,35.9778807292,-120.8,664.1,25.8
23735,-75.4318689875,-222.2641107313,-75431.868987546,-222264.1107312689,-120.8378944939,36.0136685722,138.2,479.9,21.9
9542,-70.8678625877,-229.6859591421,-70867.8625876625,-229685.9591421422,-120.7865161709,35.9472237436,-23.4,1082.5,32.9
14061,-79.6864512247,-227.2893205928,-79686.4512247256,-227289.3205927976,-120.8846307458,35.9680942412,-191.6,578.3,24.0
19661,-75.2771569062,-224.5061274387,-75277.156906194,-224506.1274387202,-120.835956464,35.9935029945,85.9,1540.6,39.3
12707,-79.377027062,-227.9851188813,-79377.0270620216,-227985.118881317,-120.8811241185,35.9618579692,-182.3,551.3,23.5
14281,-74.4262404588,-227.2120096719,-74426.2404587581,-227212.009671851,-120.8262456105,35.9692172119,-118.1,1427.2,37.8
20298,-73.7300360927,-224.1968837549,-73730.0360926742,-224196.8837549338,-120.8188061341,35.9964076804,145.5,1193.7,34.5
6407,-72.6470515232,-231.4641103239,-72647.0515232103,-231464.1103239138,-120.8060935024,35.9310854648,-110.7,994.7,31.5
9160,-77.9846183299,-229.840580984,-77984.6183298538,-229840.5809840353,-120.865480547,35.9452740664,-182.1,575.5,24.0
8149,-69.3207417741,-230.4590683516,-69320.7417741426,-230459.0683516081,-120.7692768299,35.9403798372,-4.0,1264.2,35.6
16908,-72.4149834012,-225.8977240158,-72414.9834011823,-225897.724015759,-120.804042388,35.9812014658,49.0,1438.6,37.9
1091,-73.1111877673,-235.5615891341,-73111.1877672662,-235561.5891340834,-120.810854481,35.8941710394,-151.7,819.9,28.6
25690,-80.1505874688,-220.7952032333,-80150.5874687816,-220795.2032332836,-120.8904601022,36.0265013014,-31.0,321.6,17.9
1804,-73.5753240113,-234.8657908456,-73575.3240113222,-234865.790845564,-120.8160682467,35.9003976873,-141.2,981.3,31.3
383,-70.9452186283,-236.4120092645,-70945.2186283385,-236412.009264496,-120.7867552137,35.8866810986,-203.2,678.3,26.0
1462,-74.6583085808,-235.1750345294,-74658.3085807861,-235175.0345293504,-120.828049718,35.8975298442,-122.5,1552.4,39.4
9988,-70.558438425,-229.4540263793,-70558.4384249585,-229454.0263793024,-120.7831034914,35.9493342377,-12.0,1129.1,33.6
15297,-78.3713985332,-226.6708332252,-78371.3985332338,-226670.8332252249,-120.8700956642,35.9737701598,-137.8,444.4,21.1
16616,-71.1772867504,-226.0523458577,-71177.2867503664,-226052.3458576521,-120.7902862521,35.9799035287,43.8,1336.0,36.6
3312,-70.0943021809,-233.6288161104,-70094.3021809026,-233628.8161104185,-120.7775724328,35.9117942897,-131.3,2746.4,52.4
15222,-72.3376273605,-226.7481441462,-72337.6273605063,-226748.1441461715,-120.8031035418,35.9735535565,-4.0,1155.7,34.0
10798,-76.6695656384,-228.9901608536,-76669.5656383619,-228990.1608536228,-120.850971471,35.9530351023,-141.0,275.2,16.6
9554,-69.9395900996,-229.6859591421,-69939.5900995506,-229685.9591421422,-120.7762143436,35.9472926001,-1.7,1027.6,32.1
806,-72.7244075639,-235.8708328179,-72724.4075638863,-235870.8328178698,-120.8065358481,35.8914173959,-161.3,1232.9,35.1
783,-74.5035964994,-235.8708328179,-74503.5964994341,-235870.8328178698,-120.8262666085,35.8912794991,-115.1,1642.6,40.5
2415,-73.4979679706,-234.3246143989,-73497.9679706462,-234324.6143989379,-120.8152619011,35.9052744871,-140.8,996.3,31.6
7940,-74.9677327435,-230.5363792726,-74967.7327434901,-230536.3792725547,-120.8319328655,35.939254829,-132.6,101.1,10.1
8358,-74.4262404588,-230.3044465097,-74426.2404587581,-230304.4465097149,-120.8259465374,35.9413848829,-125.5,198.5,14.1
538,-72.9564756859,-236.1800765017,-72956.4756859143,-236180.0765016562,-120.8090801626,35.8886162559,-153.9,1601.5,40.0
2038,-75.2771569062,-234.6338580827,-75277.156906194,-234633.8580827242,-120.8349659908,35.9023518038,-125.7,1829.0,42.8
15953,-74.9677327435,-226.3615895414,-74967.7327434901,-226361.5895414385,-120.8323395807,35.9768283938,-62.1,1911.0,43.7
9503,-73.884748174,-229.6859591421,-73884.7481740262,-229685.9591421422,-120.8199969801,35.9469936907,-114.6,376.8,19.4
22264,-80.0732314281,-223.1145308617,-80073.2314281056,-223114.5308616815,-120.8893590338,36.0056344289,-115.7,805.4,28.4
14329,-70.7131505063,-227.2120096719,-70713.1505063105,-227212.009671851,-120.7850265411,35.9695011891,18.5,1756.5,41.9
19163,-77.8299062485,-224.7380602016,-77829.9062485018,-224738.06020156,-120.8642798451,35.9912096072,-30.2,348.9,18.7
6185,-70.6357944656,-231.6187321658,-70635.7944656345,-231618.732165807,-120.783763392,35.9298456046,-73.7,1392.2,37.3
20460,-73.1111877673,-224.119572834,-73111.1877672662,-224119.5728339872,-120.8119412274,35.9971513739,166.4,1707.5,41.3
21583,-78.6034666553,-223.5010854664,-78603.4666552617,-223501.0854664144,-120.8729960188,36.0022784464,-70.1,64.9,8.1
4792,-69.5528098962,-232.5464632172,-69552.8098961706,-232546.4632171662,-120.7716635222,35.9215756861,-79.9,3009.6,54.9
10514,-75.6639371096,-229.1447826955,-75663.937109574,-229144.782695516,-120.8397951772,35.9517241917,-155.2,246.8,15.7
12679,-69.8622340589,-228.0624298023,-69862.2340588746,-228062.4298022636,-120.7755032394,35.9619103415,24.5,159.2,12.6
1291,-75.5865810689,-235.3296563712,-75586.581068898,-235329.6563712436,-120.8383296703,35.8960647562,-121.4,2454.5,49.5
8854,-68.5471813674,-230.0725137469,-68547.1813673827,-230072.5137468751,-120.7607271459,35.9439151022,13.8,228.1,15.1
23256,-74.3488844181,-222.5733544151,-74348.8844180821,-222573.3544150553,-120.8258354325,36.0109709511,167.2,1393.3,37.3
14927,-71.5640669537,-226.9027659881,-71564.0669537464,-226902.7659880647,-120.7945013735,35.9722206105,3.5,1809.0,42.5
14223,-78.912890818,-227.2120096719,-78912.8908179657,-227212.009671851,-120.8760515678,35.9688546884,-167.0,214.6,14.6
17300,-77.9846183299,-225.6657912529,-77984.6183298538,-225665.7912529192,-120.8659036958,35.9828473836,-100.2,558.2,23.6
24782,-81.9297764043,-221.4910015218,-81929.7764043294,-221491.001521803,-120.9101511962,36.0200872535,-105.9,1758.0,41.9
6793,-72.0282031978,-231.2321775611,-72028.2031978024,-231232.177561074,-120.7992487673,35.933220078,-98.0,850.4,29.2
26214,-79.4543831027,-220.2540267867,-79454.3831026976,-220254.0267866574,-120.8827818138,36.0314303261,40.3,1241.8,35.2
6874,-75.6639371096,-231.1548666401,-75663.937109574,-231154.8666401274,-120.8395976117,35.9336330701,-153.3,166.8,12.9
9546,-70.558438425,-229.6859591421,-70558.4384249585,-229685.9591421422,-120.7830822305,35.9472467966,-14.3,864.2,29.4
14853,-77.2884139638,-226.9027659881,-77288.4139637698,-226902.7659880647,-120.8580495004,35.9717715975,-171.8,470.0,21.7
20358,-81.0015039162,-224.119572834,-81001.5039162175,-224119.5728339872,-120.8995626628,35.9965103945,-140.5,826.3,28.7
14807,-80.8467918349,-226.9027659881,-80846.7918348655,-226902.7659880647,-120.8975520052,35.9714750764,-215.8,826.5,28.7
3894,-72.1829152792,-233.1649505847,-72182.9152791544,-233164.950584739,-120.8007842806,35.9158127736,-135.2,1203.2,34.7
966,-71.3319988317,-235.716210976,-71331.9988317184,-235716.2109759766,-120.791108643,35.8929146622,-191.5,1486.9,38.6
3126,-76.9016337604,-233.7061270314,-76901.6337603899,-233706.1270313651,-120.8530761366,35.9105715599,-143.5,3115.5,55.8
16203,-79.377027062,-226.2069676995,-79377.0270620216,-226206.9676995453,-120.8813075942,35.9778613421,-132.4,783.9,28.0
6892,-74.2715283774,-231.1548666401,-74271.5283774061,-231154.8666401274,-120.8241476675,35.9337430317,-125.8,313.8,17.7
16265,-74.5809525401,-226.2069676995,-74580.9525401101,-226206.9676995453,-120.8280605126,35.9782504749,-34.4,1849.3,43.0
15742,-79.4543831027,-226.4389004624,-79454.3831026976,-226438.9004623851,-120.8821424543,35.975767479,-141.4,742.7,27.3
8405,-70.790506547,-230.3044465097,-70790.5065469865,-230304.4465097149,-120.7856008094,35.9416629959,-32.9,678.6,26.0
20728,-76.1280733536,-223.9649509921,-76128.07335363,-223964.950992094,-120.8454590253,35.9983056237,88.9,1360.9,36.9
10217,-75.7412931502,-229.2994045374,-75741.29315025,-229299.4045374092,-120.8406384919,35.9503264035,-175.8,104.1,10.2
22554,-78.5261106146,-222.9599090198,-78526.1106145857,-222959.9090197883,-120.8721922176,36.0071553547,-60.8,440.3,21.0
5522,-75.3545129469,-232.0052867705,-75354.51294687,-232005.28677054,-120.8360810788,35.9260036873,-133.8,370.2,19.2
11269,-74.7356646215,-228.7582280908,-74735.6646214621,-228758.228090783,-120.8295303337,35.9552767864,-146.6,768.3,27.7
19131,-80.3052995501,-224.7380602016,-80305.2995501336,-224738.06020156,-120.8917668151,35.9910032816,-139.4,683.2,26.1
18539,-78.0619743705,-225.0473038853,-78061.9743705298,-225047.3038853464,-120.8668253583,35.9884073706,-60.1,495.4,22.3
6206,-69.0113176114,-231.6187321658,-69011.3176114387,-231618.732165807,-120.7657392518,35.9299650846,-34.3,2559.9,50.6
10974,-74.5035964994,-228.9128499327,-74503.5964994341,-228912.8499326762,-120.8269396499,35.9539034162,-135.5,778.6,27.9
18951,-82.239200567,-224.8153711225,-82239.2005670334,-224815.3711225066,-120.9132326371,35.9901418071,-164.3,258.8,16.1
332,-74.8903767028,-236.4120092645,-74890.3767028141,-236412.009264496,-120.8305033217,35.8863782373,-102.2,1170.5,34.2
20116,-75.8960052316,-224.2741946759,-75896.005231602,-224274.1946758804,-120.8428513408,35.9955410577,85.0,1449.4,38.1
7832,-72.8017636046,-230.6136901935,-72801.7636045623,-230613.6901935012,-120.8078905158,35.9387276054,-102.8,495.4,22.3
19202,-74.8130206621,-224.7380602016,-74813.0206621381,-224738.06020156,-120.8307799044,35.9914523336,83.1,1499.9,38.7
4809,-76.9016337604,-232.4691522962,-76901.6337603899,-232469.1522962196,-120.8531996189,35.9217047143,-140.9,1448.4,38.1
25160,-76.746921679,-221.259068759,-76746.9216790379,-221259.0687589632,-120.8526016648,36.0226082266,71.3,1125.9,33.6
4973,-72.9564756859,-232.3918413753,-72956.4756859143,-232391.841375273,-120.809438829,35.9227118882,-120.1,286.0,16.9
863,-73.7300360927,-235.7935218969,-73730.0360926742,-235793.5218969232,-120.8176954204,35.8920356981,-132.9,1495.5,38.7
6161,-72.4923394419,-231.6187321658,-72492.3394418583,-231618.732165807,-120.8043623401,35.9297056525,-110.4,945.5,30.7
2713,-71.7961350758,-234.0926816361,-71796.1350757744,-234092.6816360981,-120.7964071599,35.9074921676,-155.6,1888.2,43.5
23571,-78.7581787366,-222.3414216522,-78758.1787366137,-222341.4216522155,-120.8748330463,36.0127023811,-69.2,313.3,17.7
24359,-81.0015039162,-221.8002452056,-81001.5039162175,-221800.2452055893,-120.8998071124,36.017383887,-106.6,1460.4,38.2
17457,-77.7525502078,-225.588480332,-77752.5502078258,-225588.4803319726,-120.8633348823,35.9835622261,-91.5,606.3,24.6
15593,-79.14495894,-226.5162113833,-79144.9589399937,-226516.2113833317,-120.878699314,35.9750975437,-122.7,474.8,21.8
22292,-77.9072622892,-223.1145308617,-77907.2622891778,-223114.5308616815,-120.8653033572,36.00581482,-31.6,730.2,27.0
20279,-75.1998008655,-224.1968837549,-75199.8008655181,-224196.8837549338,-120.8351277152,35.9962922984,104.3,1250.1,35.4
13055,-75.7412931502,-227.8304970394,-75741.29315025,-227830.4970394238,-120.8407830679,35.9635467294,-178.5,690.6,26.3
15986,-72.4149834012,-226.3615895414,-72414.9834011823,-226361.5895414385,-120.8039987122,35.9770266644,18.6,1188.4,34.5
10700,-72.7244075639,-229.0674717746,-72724.4075638863,-229067.4717745694,-120.8071782082,35.9526498,-80.2,597.9,24.5
9298,-78.5261106146,-229.7632700631,-78526.1106145857,-229763.2700630887,-120.8714976281,35.9459252309,-196.2,332.1,18.2
12323,-74.1941723367,-228.2170516442,-74194.1723367302,-228217.0516441568,-120.8235725082,35.9601899257,-145.9,955.7,30.9
15853,-70.8678625877,-226.4389004624,-70867.8625876625,-226438.9004623851,-120.7868152347,35.9764476838,36.9,1702.5,41.3
16305,-71.4867109131,-226.2069676995,-71486.7109130704,-226206.9676995453,-120.7937072774,35.9784886628,33.9,1549.0,39.4
993,-74.8903767028,-235.638900055,-74890.3767028141,-235638.90005503,-120.8305784283,35.8933365805,-115.1,1828.0,42.8
